UserCountry3,random_intercept
RUS,0.01645976216516516
BEL,0.0154171146569421
FRA,0.015252002777284234
CZE,0.014977433146451282
SVK,0.011548623070890418
ESP,0.0076880720540714615
UKR,0.007498856643372693
NLD,0.007432508318872134
AUT,0.006479314692786206
CHN,0.006239134446762835
PHL,0.006000836600761125
BLR,0.005626107082865015
DEU,0.0055674080792745455
EGY,0.0053886259072319035
CHL,0.005334324705452271
HKG,0.005017343001962333
TWN,0.004294525751245498
LTU,0.004071585804629444
EST,0.003797259572494833
BIH,0.0034597177902205892
HUN,0.0032669324638364243
CHE,0.0031239327980819415
SLV,0.0027376501225448886
ROU,0.002526497480875
ARE,0.002243855289344832
LKA,0.0022328901535146684
IDN,0.002169657547112896
MLT,0.002024004578906004
GEO,0.0018716737283984142
BGD,0.00181556464049051
CYP,0.0015823111288981895
MAC,0.0014627999523358888
LBN,0.0012035471036588538
AND,0.0011364005419842852
CAN,0.0010252570665956425
BGR,0.0009145141029052857
REU,0.0008826372081214433
CRI,0.0008685846362099595
ITA,0.0008586320141252655
BRN,0.0008388839426840787
NCL,0.0007654697943904647
SRB,0.0007231452601035297
THA,0.0006901192631107399
DZA,0.0006599082311914117
FIN,0.0006284521496660663
MNG,0.0006144583509617932
HND,0.0005255640144661659
MDV,0.0005171873745072225
KAZ,0.00045166797561952554
JAM,0.00043530899804651563
ARG,0.0004117039399458917
KGZ,0.00040315222135990647
AFG,0.0003747643773607972
MEX,0.00036833174472796154
SYR,0.00033934210473805874
NIC,0.0003055475105146125
MYS,0.0002989299763104499
MDG,0.00027917712885349225
TUN,0.00022819973298976795
MUS,0.00015878669266398187
PYF,0.00014499347782514973
JEY,0.00013041494195951817
KHM,9.841393656885911e-05
MNE,4.620331300926311e-05
ISL,-4.966481026442281e-06
KWT,-1.5551290402586514e-05
MTQ,-0.00010929940553617072
OMN,-0.00017838810741242414
PSE,-0.00021270808685122934
BRB,-0.0002282542072170019
IMN,-0.0003020689430028485
GGY,-0.00032702408438966814
IRQ,-0.0003309755343250709
AGO,-0.00035055466403737456
MCO,-0.00035126192154953954
AZE,-0.00037099481959731794
ARM,-0.0003851160064119945
DNK,-0.00044362514288233407
ZAF,-0.0005639417092976298
PAN,-0.0006034585224692574
VEN,-0.000604212276019762
URY,-0.000606797936196253
NGA,-0.0006080762071138418
IRN,-0.0006606445007341884
NPL,-0.0007498961229876692
KEN,-0.0007821133965246851
QAT,-0.000802569646360731
BOL,-0.0008588806344183622
UZB,-0.0008966604613938548
JPN,-0.0009464034385431596
ALB,-0.0010970470079978945
BHS,-0.001106714373269654
GUM,-0.0011137364544554287
PER,-0.001275497203267409
JOR,-0.0013442843717954588
POL,-0.0013643039201862552
MDA,-0.0013799660701864264
MMR,-0.0013869029617426393
PRY,-0.0015434481497914165
DOM,-0.0018906203212714287
VNM,-0.001968634677092114
BHR,-0.0020323170501326355
SVN,-0.002038333977073667
PRT,-0.002225618240572517
LUX,-0.002301379310462968
COL,-0.0024278384239952017
TTO,-0.0024432621091256394
MKD,-0.0028124587770392362
PRI,-0.002929675521189279
PAK,-0.0030354996499976404
IRL,-0.0032474020203443216
LVA,-0.0033440780770780144
MAR,-0.0035822624436847037
ECU,-0.0036137046666636897
SAU,-0.0038222398798327577
HRV,-0.004199771393207348
GTM,-0.004340491760906212
SGP,-0.004353758099510548
ISR,-0.004522221973765005
NZL,-0.0051935579598638495
GRC,-0.005750421422510663
NOR,-0.006828944675228979
GBR,-0.008713816095783151
IND,-0.008830647839709188
KOR,-0.010635236823440043
SWE,-0.011236929552464641
USA,-0.012204208576512793
AUS,-0.013079892835869205
BRA,-0.016439631705785416
TUR,-0.01798482536110193
